Ticket ID,Status,Created On,Account,Account ID,Product (Ticket ID),,Serial ID (Ticket ID),Service and Support Team,Ticket Type,Service Category,Work Description (Ticket),Incident Description (Ticket),Sales Unit,Agent,Created By,Resolved On Date,Closing Date,Changed By,City,Postal Code,State,Incident Category,Product Status,Ticket Source,Product Category ID (Affected Product Category),Product Category,,Date of Resolution (Ticket ID),Warranty (Registered Product),Warranty Start Date (Registered Product),Warranty End Date (Registered Product),Product (Ticket Item),Ticket Item,Defective Returns Required,Registered Product,Changed On,Open_Ticket_Years,Open_Ticket_Months,Open_Ticket_Days,Total_Open_Ticket_Days,Counter
873050,Dispatch Factory,20.06.2023,SWASTIK NURSING HOME RAIPUR,7000064918,MBPLCRAYPXMED1KMG,,NGMA2H1035,ASM BHUPENDRA SONI,Service Calls,Breakdown Calls,#,"X RAY SHOOT NOT WORKING 

THRU MR GULSHAN

O/W

",Raipur SO,SANJAY TAYDE,CALLCENTRE3 .,#,#,CALLCENTRE2 .,RAIPUR,492001,Chhattisgarh,Not assigned,Available,Reported by Customer,XR01,C-Arm,,#,SALES WARRANTY,14.01.2023,13.01.2024,SMPS 100-240V (O/P:5V 24V 15V -15V),382SMPSECM100UQ44,#,BPL C-RAY PRIME WITH X-MED1K²  MG.,26.06.2023,0,0,13,13,1
874311,Closed,24.06.2023,Wellness Hospitals(SWASTH MEDICAL ASSOCI,7000106955,MBPLCRAYPROPLUSMXSI,,VJMA2A1006,JOHN DANIEL K P,Service Calls,Breakdown Calls,cpu fan replaced,whistle in cpu,Hyderabad SO,JOHN DANIEL K P,JOHN DANIEL K P,#,27.06.2023,JOHN DANIEL K P,Hyderabad,500070,Telangana,Not assigned,Not assigned,Reported by Customer,XR01,C-Arm,,24.06.2023,SALES WARRANTY,01.06.2022,31.05.2023,Not assigned,#,X,C-RAY Pro Plus with 100 Frames Memory,27.06.2023,,,,,1
868176,Allotment,02.06.2023,MEDICARE CLINIC PVT LTD.,7000054935,MPO5530,,DYMJ2A10759,ELECTROCARE SALES DEALER,Service Calls,Breakdown Calls,#,while delivering the materials customer not willing to take,Kolkata SO,M/s ELECTROCARE SALES,CALLCENTRE2 .,#,#,CALLCENTRE3 .,HOWRAH,711102,West Bengal,Not assigned,Available,Reported by Dealer,MP01,Patient monitors,,#,SALES WARRANTY,02.06.2023,31.05.2024,MOINTOR SMPS POWER SUPLY ASSY,363SMPSAY,X,PULSE OXYMETER CLEO PLUS,16.06.2023,0,1,1,31,1
868177,Closed,02.06.2023,Medway,7000019616,MAMPLNPRI320AAGMW/OO2MS,,6145CB0282,ASM SACHIN RASAM,Service Calls,Breakdown Calls,Wheels replaced .,wheels need to replaced,Mumbai SO,SACHIN SHAMSUNDAR RASAM,SACHIN SHAMSUNDAR RASAM,02.06.2023,02.06.2023,SACHIN SHAMSUNDAR RASAM,Navi Mumbai,410209,Maharashtra,Not assigned,Available,Reported by E-mail,AW02,Penlon-Anaesthesia work station,,02.06.2023,SALES WARRANTY,10.05.2023,08.05.2024,CASTERWHEEL WITH BREAK -PENLON AWS -GRAY,BPL-PENLON-5008901-GRY,X,Penlon Prima320 Adv+Masimo AGMw/o O2 MS,02.06.2023,,,,,1
874352,Dispatch Factory,24.06.2023,SHRI SHANKARA HOSPITAL,7000106365,MBPLCRAYPROPLUSMXSI,,URMA2F1069,ASM BHUPENDRA SONI,Service Calls,Breakdown Calls,#,"Wheel handle not working

Thru call from customer(Aman)

Cus",Raipur SO,BHUPENDRA SONI,CALLCENTRE3 .,#,#,CALLCENTRE2 .,Raipur,492001,Chhattisgarh,Not assigned,Available,Reported by Customer,XR01,C-Arm,,#,SALES WARRANTY,25.07.2022,24.07.2023,CHAIN ADJUSTER PL,382CHNADJPL,X,C-RAY Pro Plus with 100 Frames Memory,27.06.2023,0,0,9,9,1
871984,Closed,16.06.2023,RK MULTICARE HOSPITAL,7000112200,FG5008230,,6140BH0489,ASM_AMAN_PRASAD,Service Calls,Breakdown Calls,FLOW SENSOR CALIBRATION WAS DONE TO ELEMINATE TVi ANd TVe DI,"vt low 

thru mr Prateek jain 

8208141262",Kolkata SO,AMAN PRASAD JAISWAL,CALLCENTRE3 .,18.06.2023,20.06.2023,AMAN PRASAD JAISWAL,JHARSUGUDA,768201,Orissa,Incorrect values,Not assigned,Reported by Customer,AW02,Penlon-Anaesthesia work station,,18.06.2023,SALES WARRANTY,09.04.2023,07.04.2024,Not assigned,#,X,Penlon Prima 320 Anesthesia Workstation,20.06.2023,,,,,1
871347,Allotment,14.06.2023,"MAHATMA GANDHI CANCER HOSPITAL,",7000099315,BPLVOLPUMP1,,KMTA1J4096,Healtth-Line Medi Systems,Service Calls,Breakdown Calls,#,"Volumetric not working

Thru call from dealer Healtth-Line M",Vijaywada SO,M/s Healtth-Line Medi Systems,CALLCENTRE3 .,#,#,CALLCENTRE3 .,VISAKAPATANAM,530017,Andhra Pradesh,Not assigned,Not assigned,Reported by Dealer,IP02,Volumetric Pump,,#,SALES WARRANTY,01.12.2021,30.11.2022,Not assigned,#,X,BPL VOLU. PUMP ACURA V1 with Drip Sensor,14.06.2023,0,0,19,19,1
871349,Allotment,14.06.2023,"MAHATMA GANDHI CANCER HOSPITAL,",7000099315,BPLVOLPUMP1,,KMTA1J3988,Healtth-Line Medi Systems,Service Calls,Breakdown Calls,#,"Volumetric not working


Thru call from dealer Healtth-Line",Vijaywada SO,M/s Healtth-Line Medi Systems,CALLCENTRE3 .,#,#,CALLCENTRE3 .,VISAKAPATANAM,530017,Andhra Pradesh,Not assigned,Not assigned,Reported by Dealer,IP02,Volumetric Pump,,#,SALES WARRANTY,01.12.2021,30.11.2022,Not assigned,#,X,BPL VOLU. PUMP ACURA V1 with Drip Sensor,14.06.2023,0,0,19,19,1
871348,Allotment,14.06.2023,"MAHATMA GANDHI CANCER HOSPITAL,",7000099315,BPLVOLPUMP1,,KMTA1J4058,Healtth-Line Medi Systems,Service Calls,Breakdown Calls,#,"Volumetric not working


Thru call from dealer Healtth-Line",Vijaywada SO,M/s Healtth-Line Medi Systems,CALLCENTRE3 .,#,#,CALLCENTRE3 .,VISAKAPATANAM,530017,Andhra Pradesh,Not assigned,Not assigned,Reported by Dealer,IP02,Volumetric Pump,,#,SALES WARRANTY,01.12.2021,30.11.2022,Not assigned,#,X,BPL VOLU. PUMP ACURA V1 with Drip Sensor,14.06.2023,0,0,19,19,1
871721,Allotment,15.06.2023,"MAHATMA GANDHI CANCER HOSPITAL,",7000099315,BPLVOLPUMP1,,KMTA1J4080,Healtth-Line Medi Systems,Service Calls,Breakdown Calls,#,"volume problem

O/W

thru mr KOTI 

8886821713",Vijaywada SO,M/s Healtth-Line Medi Systems,CALLCENTRE3 .,#,#,CALLCENTRE2 .,VISAKAPATANAM,530017,Andhra Pradesh,Not assigned,Not assigned,Reported by Dealer,IP02,Volumetric Pump,,#,SALES WARRANTY,01.12.2021,30.11.2022,Not assigned,#,X,BPL VOLU. PUMP ACURA V1 with Drip Sensor,20.06.2023,0,0,18,18,1
871722,Allotment,15.06.2023,"MAHATMA GANDHI CANCER HOSPITAL,",7000099315,BPLVOLPUMP1,,KMTA1J3908,Healtth-Line Medi Systems,Service Calls,Breakdown Calls,#,"volume problem 


thru mr KOTI 


8886821713",Vijaywada SO,M/s Healtth-Line Medi Systems,CALLCENTRE3 .,#,#,CALLCENTRE3 .,VISAKAPATANAM,530017,Andhra Pradesh,Not assigned,Not assigned,Reported by Dealer,IP02,Volumetric Pump,,#,SALES WARRANTY,01.12.2021,30.11.2022,Not assigned,#,X,BPL VOLU. PUMP ACURA V1 with Drip Sensor,15.06.2023,0,0,18,18,1
871687,Closed,15.06.2023,MS HEALTHCARE,7000111997,MECG6208VIEWC,,DETE2K26038,LIFE CARE SYSTEM (SF) DEALER,Service Calls,Breakdown Calls,"PLU FOUND BROKEN AND HUMIDITY ISSUE 

MACHINE WORKING FINE.","VIBRATION ON CHEST LEAD 5

THRU CALL FROM DEALER(ATHUL-79079",Kochi SO,M/s LIFE CARE SYSTEMS (KERALA),CALLCENTRE4 .,#,15.06.2023,M/s LIFE CARE SYSTEMS (KERALA),THIRUVEGAPPURA,679304,Kerala,Not assigned,Not assigned,Reported by Dealer,EC02,Electrocardiographs-Multi channel,,15.06.2023,SALES WARRANTY,14.03.2023,12.03.2024,Not assigned,#,X,ECG MACHINE 6208 VIEW PLUS,15.06.2023,,,,,1
868376,Closed,05.06.2023,"MAHATMA GANDHI CANCER HOSPITAL,",7000099315,MAMEFLO6-3GAS,,VNTA2D1718,JAYAVARDHAN KOLAVENNU,Service Calls,Breakdown Calls,"Checked unit found leak test failed fron bellow , removed an","VENTLATION NOT WORKING

THRU CALL FROM MR JAYA VARDHAN

CUST",Vijaywada SO,JAYAVARDHAN KOLAVENNU,CALLCENTRE4 .,#,05.06.2023,JAYAVARDHAN KOLAVENNU,VISAKAPATANAM,530017,Andhra Pradesh,Not assigned,Not assigned,Reported by Employee,AW01,Anaesthesia work station,,05.06.2023,SALES WARRANTY,16.07.2022,15.07.2023,Not assigned,#,X,AWS E FLO 6C,05.06.2023,,,,,1
869896,Closed,07.06.2023,Karthikaya hospital,7000110297,MAMEFLO6-3GAS,,VNTA2L1749,JAYAVARDHAN KOLAVENNU,Service Calls,Breakdown Calls,Checekd the unit found ventialtion was not working fine and,"VENTILATION NOT WORKING 

THRU MR JAYAVARDHAN 

",Vijaywada SO,JAYAVARDHAN KOLAVENNU,CALLCENTRE3 .,#,08.06.2023,JAYAVARDHAN KOLAVENNU,jagganpeta,533435,Andhra Pradesh,Not assigned,Not assigned,Reported by Employee,AW01,Anaesthesia work station,,08.06.2023,SALES WARRANTY,02.12.2022,01.12.2023,Not assigned,#,X,AWS E FLO 6C,08.06.2023,,,,,1
868427,Closed,07.06.2023,DR. LAKHAR PATIDARSIR,7000107144,MECGGENX3S,,JWMJ2B3967,BANSAL AGENCY  DEALER,Service Calls,Breakdown Calls,Checked and found that V6 lead is not proper. Root cause fou,V6 lead problem & repeate faluire.,Bhopal SO,M/s BANSAL AGENCY,SATISH SINGH,#,22.06.2023,DINESH YADAV,KHARGONE,451001,Madhya Pradesh,PCB/ Sub-Assembly failure,Available,Reported by E-mail,EC02,Electrocardiographs-Multi channel,,20.06.2023,SALES WARRANTY,24.05.2022,23.05.2023,ECG MACHINE GEN X3i,MECGGENX3,#,ECG MACHINE GEN X3S,22.06.2023,,,,,1
868424,Send To CW,06.06.2023,SHARAH HEALTH CARE & SUNNATH CENTER,7000104325,MECGGENX3S,,JWMJ2B4157,TRINITY HEALTHCARE SYSTEMS DEALER,Service Calls,Breakdown Calls,#,"V3 not getting

THRU MAIL FROM TRINTY HEALTH CARE 


",Kochi SO,HEALTHCARE SYSTEM TRINITY,CALLCENTRE3 .,#,#,SOBHANA HARIKUMAR,Palakkad,678012,Kerala,Not assigned,Available,Reported by Employee,EC02,Electrocardiographs-Multi channel,,#,SALES WARRANTY,16.05.2022,15.05.2023,ECG MACHINE GEN X3iS,MECGGENX3S,#,ECG MACHINE GEN X3S,23.06.2023,0,0,27,27,1
