Product (Ticket ID),Work Description (Ticket),Incident Description (Ticket),Month,Product Category
BPLMVLSMEL300STR,Tough is not working so solved this update the new software,"Touch panel is not working proper

thru call from Nitish(cus",jul,Lowenstein ventilators
BPLMVLSMEL300STR,(reason not mentioned),"silicone disk missing

 

 

silicone disk replaced",jul,Lowenstein ventilators
A62062,HEATER CHECK WORKING OK,HEATER NOT WORKING,jul,Mother Infant Care
FG5008230,Battery was fully discharged due to loose power cable connec,"ONN OFF ISSUE

THRU CALL FROM MR. PN MAURYA

INFORMED BY ENG",jul,Penlon-Anaesthesia work station
MAMPLN465AGMW/OO2SSAUTOID,Check the unit found leak and expiratory side 4mm tube was b,"LEAKTEST FAILUR 

THRU MR JAYVARDHAN 

",jul,Penlon-Anaesthesia work station
FG5008230,NO FAULT WAS OBSERVED AS REPORTED BY CUSTOMER. ALL SYSTEM TE,"O2 supply down 

thru call from customer(Mr.Bacha kumar)

Cu",jul,Penlon-Anaesthesia work station
FG5008230,(reason not mentioned),"knob not working 

thru mr ravi 

mob 

8539933063",jul,Penlon-Anaesthesia work station
FG5008230,(reason not mentioned),"LEAKAGE FROM FLOW METER

THRU CALL FROM CUSTOMER JYOTSMA

95",jul,Penlon-Anaesthesia work station
MACQUNIT,(reason not mentioned),"cap broken

THRU MAIL FROM MR SHESHADRI VENKETESH",jul,STS-Stress test system
MECG6208VIEWC,(reason not mentioned),"VIBRATION ISSUE

THRU MAIL FROM BHAGIRATH

Dealer side Pendi",jul,Electrocardiographs-Multi channel
MECG6208VIEWC,problem solved. working good,TECHNICAL INFORMATION,jul,Electrocardiographs-Multi channel
MECG6208VIEWC,"PAPER COMPLAINT.

REPLACED PAPER AND WORKING FINE.","PRINT NOT CLEAR

THRU CALL FROM LIFE CARE SYSTEM KERALA

813",jul,Electrocardiographs-Multi channel
MECG6208VIEWC,(reason not mentioned),"PRINT PROBLEM

THRU CUSTOMER-6381898jul4jul-PANDI

$",jul,Electrocardiographs-Multi channel
MPM5588UPDS,switching on the found not working and observe that fuse was,"SMPS PROBLEM 

THRU MR VAMSI

jul995321646",jul,Patient monitors
MPM5588UPDS,(reason not mentioned),"SPMS SWITCH ONN OFF

THRU CALL FROM VAMSHI",jul,Patient monitors
MPM5588UPDS,(reason not mentioned),"Battery lock issue

Thru call from employee (Mr.Nagarjun P)
",jul,Patient monitors
MPM5588UPDS,(reason not mentioned),"NIBP Module problem

Thru call from Dealer Varada technologi",jul,Patient monitors
MPM5588UPDS,TICKET 869311,"BLANK WHITE DISPLAY. (CONTRAST)

THRU MAIL FROM

MANGESH MED",jul,Patient monitors
MPM5588UPDS,required main board.,"No Display issue

Thru call from dealer MEDICARE SERVICES

",jul,Patient monitors
MPM5588UPDS,(reason not mentioned),"machine not working 

thru mail from introduction

O/W",jul,Patient monitors
MPM5588UPDS,(reason not mentioned),"SMPS boald issue

Thru call from Dealer sterling sales & ser",jul,Patient monitors
MPM5588UPDS,spo2 sensor replaced,"SP02 SENSOR ISSUE

THRU CALL FROM CUSTOMER SANDEEP

94169882",jul,Patient monitors
MPM5588UPDS,(reason not mentioned),monitor is not boot,jul,Patient monitors
MPM5588UPDS,(reason not mentioned),"NOT WORKING PROPERLY

THRU MAIL FROM HCARE",jul,Patient monitors
MPM5588UPDS,(reason not mentioned),"Battery charging issue

Thru mail from dealer hcare service",jul,Patient monitors
MPM5588UPDS,(reason not mentioned),"Machine not getting ""ON""

Thru mail from Dealer ELECTROCARE",jul,Patient monitors
MPM5588UPDS,(reason not mentioned),"SMPS PROBLEM (Machine not getting on ) 

THRU MAIL FROM ELEC",jul,Patient monitors
MPM5588PRB,(reason not mentioned),"ECG NOT SHOWING

THRU CALL FROM

CUSTOMER",jul,Patient monitors
MPM5588PRB,Resolved,"SPO2 not working

Thru call from dealer javana medical syste",jul,Patient monitors
