category,product,type,configuration,date,defects,units,opportunities
Patient Monitor,Vivid Vue,Vivid Vue 8,MPMVIVEDVUE8OXSPO2,Jun-23,1,105,1
Patient Monitor,Vivid Vue,Vivid Vue 8,MPMVIVEDVUE8OXSPO2,Jul-23,0,105,1
Patient Monitor,Vivid Vue,Vivid Vue 8,MPMVIVEDVUE8OXSPO2,Aug-23,0,155,1
Patient Monitor,Vivid Vue,Vivid Vue 8,MPMVIVEDVUE8OXSPO2,Sep-23,3,155,1
Patient Monitor,Vivid Vue,Vivid Vue 8,MPMVIVEDVUE8OXSPO2,Oct-23,0,155,1
Patient Monitor,Vivid Vue,Vivid Vue 8,MPMVIVEDVUE8OXSPO2,Nov-23,0,105,1
Patient Monitor,Vivid Vue,Vivid Vue 8,MPMVIVEDVUE8OXSPO2,Dec-23,1,100,1
Patient Monitor,Vivid Vue,Vivid Vue 8,MPMVIVEDVUE8NSPO2,Jun-23,0,15,1
Patient Monitor,Vivid Vue,Vivid Vue 8,MPMVIVEDVUE8NSPO2,Jul-23,0,10,1
Patient Monitor,Vivid Vue,Vivid Vue 8,MPMVIVEDVUE8NSPO2,Aug-23,0,10,1
Patient Monitor,Vivid Vue,Vivid Vue 8,MPMVIVEDVUE8NSPO2,Sep-23,2,15,1
Patient Monitor,Vivid Vue,Vivid Vue 8,MPMVIVEDVUE8NSPO2,Oct-23,0,15,1
Patient Monitor,Vivid Vue,Vivid Vue 8,MPMVIVEDVUE8NSPO2,Nov-23,0,5,1
Patient Monitor,Vivid Vue,Vivid Vue 8,MPMVIVEDVUE8NSPO2,Dec-23,0,5,1
Patient Monitor,Vivid Vue,Vivid Vue 10,MPMVIVEDVUE10NSPO2,Jun-23,1,21,1
Patient Monitor,Vivid Vue,Vivid Vue 10,MPMVIVEDVUE10NSPO2,Jul-23,0,21,1
Patient Monitor,Vivid Vue,Vivid Vue 10,MPMVIVEDVUE10NSPO2,Aug-23,0,21,1
Patient Monitor,Vivid Vue,Vivid Vue 10,MPMVIVEDVUE10NSPO2,Sep-23,0,21,1
